10010	IGNORE	Cookie No HttpOnly Flag
10011	IGNORE	Cookie Without Secure Flag
10015	IGNORE	Incomplete or No Cache-control Header Set
10017	IGNORE	Cross-Domain JavaScript Source File Inclusion
10020	IGNORE	X-Frame-Options Header
10021	IGNORE	X-Content-Type-Options Header Missing
10023	IGNORE	Information Disclosure - Debug Error Messages
10036	IGNORE	Server Leaks Version Information
10038	IGNORE	Content Security Policy (CSP) Header Not Set
10049	IGNORE	Non-Storable Content
10050	IGNORE	Retrieved from Cache
10054	IGNORE	Cookie Without SameSite Attribute
10055	IGNORE	CSP Scanner
10096	IGNORE	Timestamp Disclosure
10109	IGNORE	Modern Web Application
40025	IGNORE	Proxy Disclosure

90022	WARN	Application Error Disclosure
90033	WARN	Loosely Scoped Cookie

40012	FAIL	Cross Site Scripting (Reflected)
40014	FAIL	Cross Site Scripting (Persistent)
40016	FAIL	Cross Site Scripting (Persistent) - Prime
40017	FAIL	Cross Site Scripting (Persistent) - Spider
40018	FAIL	SQL Injection
40019	FAIL	SQL Injection - MySQL
40020	FAIL	SQL Injection - Hypersonic SQL
40021	FAIL	SQL Injection - Oracle
40022	FAIL	SQL Injection - PostgreSQL
40024	FAIL	SQL Injection - SQLite
40028	FAIL	CSRF
90024	FAIL	Generic Padding Oracle 